'object1','object2','at', been-at', 'is-in', 'carry', 'adjacent', 'same-type', 'same-size', 'can-move', 'can-sample', 'can-sample-at'
waypoint0',waypoint0',0,,,0,1,0,0,,0,,
waypoint0',waypoint1',0,0,0,,1,0,0,0,0,0,
waypoint0',waypoint2',0,0,,0,1,0,0,0,0,0,
waypoint0',waypoint3',,,0,0,1,0,0,0,,,
waypoint0',waypoint4',,0,0,0,1,,0,0,,0,
waypoint0',waypoint5',0,0,0,0,1,0,0,,0,,
waypoint0',waypoint6',0,,0,0,1,0,0,0,0,,
waypoint0',waypoint7',0,0,,0,1,0,,0,0,0,
waypoint0',waypoint8',,0,,0,,,0,0,0,,
waypoint0',waypoint9',0,0,0,0,,0,0,,,,
waypoint0',waypoint10',0,,0,0,,0,,0,0,0,
waypoint0',waypoint11',,0,0,,,,0,0,0,0,
waypoint0',waypoint12',0,0,0,0,1,0,0,0,0,0,
waypoint0',waypoint13',,,0,0,1,,0,0,,0,
waypoint0',waypoint14',0,0,0,,1,,0,0,,0,
waypoint0',waypoint15',0,0,,0,,0,0,0,,,
waypoint0',waypoint16',0,0,0,0,1,0,0,,0,0,
waypoint0',waypoint17',0,,0,0,,0,0,0,0,0,
waypoint0',waypoint18',,0,0,,1,0,0,0,0,0,
waypoint0',waypoint19',0,0,,0,,0,0,0,0,0,
waypoint0',waypoint20',0,0,,0,,0,0,0,0,0,
waypoint0',rover0',0,0,,0,0,0,0,0,0,0,
waypoint0',rover1',0,0,0,0,,0,0,0,0,0,
waypoint0',rover2',,0,0,,0,,0,0,0,0,
waypoint0',rover3',0,,0,0,0,,0,,0,0,
waypoint0',rover4',,0,0,0,,,0,,,0,
waypoint0',rover5',0,0,0,0,0,0,0,0,0,0,
waypoint0',rover6',,0,0,0,,0,0,,,,
waypoint0',rover7',0,0,0,0,0,,0,0,0,,
waypoint0',rover8',0,,0,,0,0,0,0,0,,
waypoint0',rover9',,0,0,0,0,,0,0,0,0,
waypoint0',rover10',0,0,0,0,,0,0,,0,0,
waypoint0',rover11',,,0,,0,0,0,0,0,,
waypoint0',rover12',,0,0,0,0,0,0,0,0,0,
waypoint0',rover13',0,0,,0,,0,,0,0,0,
waypoint0',rover14',0,0,,0,0,0,0,0,0,0,
waypoint0',rover15',0,0,0,,0,0,0,0,0,0,
waypoint0',rover16',0,0,0,0,0,,0,,,0,
waypoint0',rover17',,0,0,0,,0,,0,,0,
waypoint0',rover18',0,0,0,0,0,0,0,,0,0,
waypoint0',rover19',,0,0,,0,0,0,0,0,,
waypoint0',rover20',0,0,0,0,0,,0,0,0,0,
waypoint0',sample0',0,0,0,,0,0,0,0,0,0,
waypoint0',sample1',0,0,,0,0,0,0,0,0,0,
waypoint0',sample2',0,0,0,0,0,0,,0,0,0,
waypoint0',sample3',0,0,0,0,0,0,0,0,0,0,
waypoint0',sample4',0,0,0,0,,0,0,0,0,0,
waypoint0',sample5',0,0,0,0,,0,0,0,,0,
waypoint0',sample6',,0,0,0,,0,0,0,0,,
waypoint0',sample7',,0,0,,0,0,0,0,0,,
waypoint0',sample8',0,,0,0,0,0,0,0,0,0,
waypoint0',sample9',0,0,0,0,,0,0,,,0,
waypoint0',sample10',0,0,0,0,0,0,0,0,0,0,
waypoint0',sample11',0,0,0,0,0,,0,,0,0,
waypoint0',sample12',0,0,,0,,0,0,0,0,0,
waypoint0',sample13',0,0,0,0,,0,0,,,0,
waypoint0',sample14',0,0,,0,,0,,0,0,0,
waypoint0',sample15',,0,0,0,0,0,0,0,0,0,
waypoint0',sample16',0,0,0,0,0,0,,0,0,0,
waypoint0',sample17',0,0,0,0,,0,0,0,0,0,
waypoint0',sample18',,0,0,,0,,0,0,,,
waypoint0',sample19',0,0,,0,0,0,0,0,0,,
waypoint0',sample20',0,0,0,0,0,0,0,0,0,0,
waypoint0',bad_sample0',0,0,0,0,0,0,0,0,0,0,
waypoint0',bad_sample1',0,0,0,0,,0,0,0,0,0,
waypoint0',bad_sample2',0,0,0,0,0,0,0,0,0,0,
waypoint0',bad_sample3',0,0,0,0,0,0,0,0,0,0,
waypoint0',bad_sample4',0,0,0,0,0,0,0,0,0,0,
waypoint0',bad_sample5',0,0,0,0,0,0,0,0,0,0,
waypoint0',bad_sample6',0,0,0,0,,,0,0,,0,
waypoint0',bad_sample7',0,0,0,0,0,0,0,,,,
waypoint0',bad_sample8',0,,0,0,,0,0,0,,0,
waypoint0',bad_sample9',,0,0,0,,0,0,0,0,0,
waypoint0',bad_sample10',0,,,0,0,0,0,0,0,0,
waypoint0',bad_sample11',0,0,,0,,0,0,0,0,0,
waypoint0',bad_sample12',0,0,0,0,0,0,0,,0,0,
waypoint0',bad_sample13',0,0,0,0,0,0,0,0,0,0,
waypoint0',bad_sample14',0,0,,,0,,0,0,0,0,
waypoint0',bad_sample15',0,,,0,0,0,,0,0,,
waypoint0',bad_sample16',0,0,0,0,0,0,0,0,0,0,
waypoint0',bad_sample17',0,0,0,,0,0,0,,0,0,
waypoint0',bad_sample18',0,0,0,0,0,,0,0,0,0,
waypoint0',bad_sample19',0,0,,,0,,0,0,0,,
waypoint0',bad_sample20',0,0,,0,0,0,0,0,0,0,
waypoint1',waypoint0',0,,0,0,1,0,0,0,0,,
waypoint1',waypoint1',0,0,,,1,0,0,0,0,0,
waypoint1',waypoint2',0,0,0,0,,0,0,0,0,0,
waypoint1',waypoint3',0,0,,0,1,0,0,0,0,0,
waypoint1',waypoint4',0,0,0,0,1,,0,0,0,0,
waypoint1',waypoint5',0,0,0,,1,,,0,0,0,
waypoint1',waypoint6',,,0,0,1,0,0,0,0,0,
waypoint1',waypoint7',0,,0,0,1,0,0,0,,0,
waypoint1',waypoint8',0,0,0,0,1,,,0,0,0,
waypoint1',waypoint9',0,0,0,0,1,0,0,0,0,,
waypoint1',waypoint10',0,0,0,0,1,0,,0,0,0,
waypoint1',waypoint11',0,0,0,0,1,0,0,,0,0,
waypoint1',waypoint12',0,0,0,0,1,0,0,0,0,0,
waypoint1',waypoint13',,,,0,1,0,0,0,0,,
waypoint1',waypoint14',,0,,0,1,0,,,0,,
waypoint1',waypoint15',0,,0,,1,0,0,0,0,0,
waypoint1',waypoint16',0,0,0,0,,0,0,0,,0,
waypoint1',waypoint17',0,,0,0,1,0,0,,,0,
waypoint1',waypoint18',0,0,,0,,,,0,0,0,
waypoint1',waypoint19',0,,0,0,1,0,,0,0,0,
waypoint1',waypoint20',0,0,0,0,1,,0,0,,0,
waypoint1',rover0',,0,0,0,0,0,0,0,,0,
waypoint1',rover1',0,,0,0,,,0,0,0,0,
waypoint1',rover2',0,0,0,0,0,0,0,0,,,
waypoint1',rover3',0,0,0,0,0,,,,0,0,
waypoint1',rover4',0,,,0,0,0,,0,0,0,
waypoint1',rover5',0,0,0,0,,0,0,,,0,
waypoint1',rover6',0,0,0,0,0,0,0,0,0,0,
waypoint1',rover7',0,0,0,0,0,0,0,0,0,0,
waypoint1',rover8',0,,,,0,,,0,0,0,
waypoint1',rover9',0,0,,0,,0,,0,0,0,
waypoint1',rover10',,0,0,0,0,,0,0,0,0,
waypoint1',rover11',0,0,0,,0,0,0,0,0,0,
waypoint1',rover12',0,0,0,0,,0,0,,0,0,
waypoint1',rover13',0,0,,0,0,,0,0,0,0,
waypoint1',rover14',,0,0,0,,,0,0,0,,
waypoint1',rover15',0,0,,0,,0,0,0,0,0,
waypoint1',rover16',0,,0,,,,0,,,0,
waypoint1',rover17',,0,0,0,0,0,0,0,0,0,
waypoint1',rover18',0,0,0,0,0,,0,0,,0,
waypoint1',rover19',,0,0,0,0,,0,,,0,
waypoint1',rover20',,0,,,0,,,0,0,0,
waypoint1',sample0',0,0,0,0,0,0,0,0,,0,
